einhvern	fokeo
kominn	sþgken
undir	ao
húsið	nheog
,	,
eins	aa
og	c
hendi	nveþ
sé	svg3en
veifað	sþghen
,	,
í	ao
moldargöng	nhfo
,	,
sem	ct
liggja	sfg3fn
milli	ae
ýmissa	fovfe
tegunda	nvfe
af	aþ
veggjum	nkfþ
húsa	nhfe
sem	ct
eitt	foheo
sinn	nheo
stóðu	sfg3fþ
á	aþ
þessum	fakeþ
fræga	lkeþvf
stað	nkeþ
.	.

enda	c
eru	sfg3fn
báðir	fokfn
bræðurnir	nkfng
í	aþ
námi	nheþ
erlendis	aa
.	.

Erlendur	nken-s
í	aþ
arkitektanámi	nheþ
í	aþ
Sviss	nheþ-s
,	,
sem	ct
kostar	sfg3en
álíka	aa
og	c
öll	fohfn
mánaðarlaun	nhfn
Helga	nkee-s
,	,
og	c
Snorri	nken-s
í	aþ
hljóðfærasmíði	nveþ
í	aþ
Kaupmannahöfn	nveþ-s
.	.

Helgi	nken-s
er	sfg3en
í	aþ
fullu	lheþsf
starfi	nheþ
,	,
gjaldkeri	nken
hjá	aþ
Sölumiðstöð	nveþ-s
hraðfrystihúsanna	nhfeg
,	,
og	c
semur	sfg3en
tónverk	nhfo
sín	fehfo
í	aþ
ígripum	nhfþ
.	.

Sigríður	nven-s
drýgir	sfg3en
tekjurnar	nvfog
með	aþ
því	fpheþ
að	cn
kenna	sng
stúlkum	nvfþ
heima	aa
listsaum	nkeo
og	c
hyggst	sfm3en
nú	aa
efna	sng
til	ae
nemendasýningar	nvee
í	aþ
kjallaranum	nkeþg
í	aþ
leiguhúsnæði	nheþ
þeirra	fphfe
í	aþ
Miðtúni	nheþ-s
4	ta
.	.

lýsing	nven
Gerðar	nvee-s
í	aþ
bréfi	nheþ
til	ae
Snorra	nkee-s
gefur	sfg3en
hugmynd	nveo
um	ao
hag	nkeo
fjölskyldunnar	nveeg
:	:

«	«
sýningin	nveng
er	sfg3en
hér	aa
í	aþ
kjallaranum	nkeþg
.	.

hér	aa
er	sfg3en
ágætis	nhee
rými	nhen
,	,
nokkuð	fohen
annað	fohen
en	c
rottuholan	nveng
þarna	aa
á	aþ
Óðinsgötunni	nveþgs
.	.

við	fp1fn
höfum	sfg1fn
tvær	tfvfo
stærðar	nvee
stofur	nvfo
.	.

svefnherbergi	nheo
fyrir	aþ
pabba	nkeþ
og	c
mömmu	nveþ
.	.

og	c
við	fp1fn
systurnar	nvfng
Unnur	nven-s
og	c
ég	fp1en
höfum	sfg1fn
sérherbergi	nhfo
.	.

síðan	aa
er	sfg3en
eldhús	nhen
og	c
bað	nhen
,	,
líka	aa
stærðar	nvee
forstofa	nven
og	c
lítil	lvensf
ytri	lvenvm
forstofa	nven
.	.

niðri	aa
eru	sfg3fn
afi	nken
og	c
amma	nven
í	aþ
ágætu	lheþsf
herbergi	nheþ
.	.

Bói	nken-s
hefur	sfg3en
eitt	tfheo
herbergi	nheo
í	aþ
kjallaranum	nkeþg
.	.

þá	aa
er	sfg3en
salurinn	nkeng
sem	ct
sýningin	nveng
er	sfg3en
í	aþ
,	,
geymsla	nven
og	c
þvottahús	nhen
.	.
»	»

Guðmundur	nken-s
Albertsson	nken-s
leigir	sfg3en
þeim	fphfþ
hús	nheo
sitt	feheo
og	c
sonur	nken
hans	fpkee
er	sfg3en
að	aþ
einhverju	foheþ
leyti	nheþ
í	aþ
heimilinu	nheþg
ásamt	aþ
öldruðum	lkfþsf
foreldrum	nkfþ
Helga	nkee-s
.	.

má	sfg3en
af	aþ
þessu	faheþ
geta	sng
nærri	aa
að	c
ekki	aa
er	sfg3en
mikið	lhensf
svigrúm	nhen
til	ae
peningaútláta	nhfe
úr	aþ
heimilinu	nheþg
.	.

Gerður	nven-s
hefur	sfg3en
átt	ssg
von	nveo
á	aþ
námsstyrk	nkeþ
frá	aþ
menntamálaráði	nheþ
,	,
enda	c
höfðu	sfg3fþ
bæði	c
Kurt	nken-s
Zier	nken-s
og	c
Lúðvig	nken-s
Guðmundsson	nken-s
mælt	ssg
með	aþ
því	fpheþ
að	c
hún	fpven
fengi	svg3eþ
tækifæri	nheo
til	ae
æðri	lveevm
menntunar	nvee
erlendis	aa
.	.

en	c
einhvers	fokee
staðar	nkee
er	sfg3en
kippt	sþghen
í	ao
spotta	nkeo
og	c
styrkurinn	nkeng
fellur	sfg3en
í	ao
hlut	nkeo
annarrar	fovee
.	.

þetta	fahen
verða	sfg3fn
sár	lhfnsf
vonbrigði	nhfn
.	.

forráðamenn	nkfn
skólans	nkeeg
hafa	sfg3fn
sýnilega	aa
samúð	nveo
með	aþ
þessum	fakeþ
unga	lkeþvf
nemanda	nkeþ
sínum	fekeþ
,	,
því	fpheþ
27.	ta
september	nkeo
skrifar	sfg3en
skólastjórinn	nkeng
Gerði	nveþ-s
bréf	nheo
:	:

«	«
ef	c
svo	aa
fer	sfg3en
að	c
þér	fp2fn
verðið	sfg2fn
heima	aa
í	ao
vetur	nkeo
vill	sfg3en
Handíða-	nkengs
og	c
myndlistaskólinn	nkeng
votta	sng
yður	fp2fþ
þá	faveo
viðurkenningu	nveo
fyrir	ao
frábæran	lkeosf
dugnað	nkeo
og	c
alúð	nveo
við	ao
nám	nheo
yðar	fp2fe
hér	aa
að	aþ
undanförnu	lheþsf
að	cn
bjóða	sng
yður	fp2fþ
ókeypis	lveoof
kennslu	nveo
í	aþ
myndlistadeildinni	nveþg
,	,
í	aþ
þeirri	faveþ
eða	c
þeim	favfþ
greinum	nvfþ
myndlistar	nvee
sem	ct
þér	fp2fn
óskið	sfg2fn
og	c
eru	sfg3fn
kenndar	sþgvfn
.	.
»	»

fjármálin	nhfng
eru	sfg3fn
ekki	aa
eina	lhenvf
vandamálið	nheng
.	.

Helgi	nken-s
Pálsson	nken-s
er	sfg3en
þegar	aa
byrjaður	sþgken
sína	feveo
áralöngu	lveovf
baráttu	nveo
um	ao
gjaldeyrisleyfi	nhfo
fyrir	aþ
námskostnaði	nkeþ
.	.

en	c
Emil	nken-s
Jónsson	nken-s
,	,
þáverandi	lkenof
viðskiptaráðherra	nken
og	c
faðir	nken
Vilborgar	nvee-s
,	,
hefur	sfg3en
komið	ssg
í	aa
gegn	aa
yfirfærsluloforði	nheþ
fyrir	ao
þær	fpvfo
allar	fovfo
vinkonurnar	nvfog
.	.

það	fphen
verður	sfg3en
svo	aa
til	ae
þess	fphee
að	c
gengið	sþghen
er	sfg3en
á	ao
hann	fpkeo
þegar	c
Eiríki	nkeþ-s
Smith	nkeþ-s
og	c
Benedikt	nkeþ-s
Gunnarssyni	nkeþ-s
er	sfg3en
síðar	aam
neitað	sþghen
um	ao
námsgjaldeyri	nkeo
,	,
og	c
verður	sfg3en
ráðherrann	nkeng
að	cn
ganga	sng
í	ao
málið	nheog
fyrir	ao
þá	fpkfo
líka	aa
.	.

líklega	aa
á	sfg3en
fólk	nhen
nú	aa
á	aþ
tímum	nkfþ
erfitt	lheosf
með	ao
að	cn
átta	sng
sig	fpheo
á	aþ
þeim	fakfþ
erfiðleikum	nkfþ
sem	ct
á	aþ
þessum	fahfþ
árum	nhfþ
mættu	svg3fþ
þeim	fakfþ
sem	ct
vildu	sfg3fþ
afla	sng
sér	fpkfþ
menntunar	nvee
hvílíka	fbveo
þrautseigju	nveo
og	c
dugnað	nkeo
þurfti	sfg3eþ
oft	aa
til	ae
að	cn
gefast	snm
ekki	aa
upp	aa
.	.

ekki	aa
aðeins	aa
að	c
námsstyrkir	nkfn
hrykkju	svg3fþ
einungis	aa
handa	aþ
fáum	lkfþsf
útvöldum	lkfþsf
,	,
heldur	c
þurfti	sfg3eþ
líka	aa
að	cn
sækja	sng
um	ao
yfirfærslu	nveo
á	aþ
hverri	foveþ
krónu	nveþ
og	c
berjast	snm
með	aþ
alls	fokee
konar	nkee
vottorðum	nhfþ
til	ae
að	cn
fá	sng
áheyrn	nveo
hjá	aþ
fjárhagsráði	nheþ
.	.

vegna	ae
alvarlegs	lheesf
ástands	nhee
í	aþ
efnahagsmálum	nhfþ
og	c
gjaldeyrisskorts	nkee
á	aþ
Íslandi	nheþ-s
hafði	sfg3eþ
sumarið	nheog
1947	ta
verið	ssg
talið	sþghen
óhjákvæmilegt	lhensf
að	cn
taka	sng
upp	aa
skömmtun	nveo
.	.

á	aþ
henni	fpveþ
var	sfg3eþ
svo	aa
hert	sþghen
um	ao
haustið	nheog
.	.

fjárhagsráð	nhen
var	sfg3eþ
sett	sþghen
á	ao
stofn	nkeo
í	aþ
ágúst	nkeþ
þetta	faheo
sama	fbheo
ár	nheo
og	c
það	fphen
lagði	sfg3eþ
mat	nheo
á	ao
hver	fsven
nauðsyn	nven
lægi	svg3eþ
að	aþ
baki	nheþ
hverri	foveþ
gjaldeyrisumsókn	nveþ
.	.

á	aþ
miðju	lheþsf
ári	nheþ
1949	ta
var	sfg3eþ
enn	aa
hert	sþghen
á	aþ
gjaldeyrisskömmtun	nveþ
vegna	ae
minnkandi	lhfeof
útflutningsverðmæta	nhfe
.	.

en	c
í	aþ
rauninni	nveþg
höfðu	sfg3fþ
gjaldeyrishöft	nhfn
og	c
skömmtun	nven
verið	ssg
ríkjandi	lhenof
ástand	nhen
á	aþ
Íslandi	nheþ-s
frá	aþ
1930	ta
og	c
linnti	sfg3eþ
ekki	aa
endanlega	aa
fyrr	aam
en	c
með	aþ
svonefndum	lvfþsf
viðreisnarráðstöfunum	nvfþ
1960	ta
.	.

dæmið	nheng
um	ao
Gerði	nveo-s
og	c
félaga	nkfo
hennar	fpvee
sýnir	sfg3en
vel	aa
hvernig	aa
þessi	fahfn
höft	nhfn
gátu	sfg3fþ
komið	ssg
illa	aa
við	ao
einstaklingana	nkfog
og	c
námsfólkið	nheog
.	.

má	sfg3en
því	aa
segja	sng
að	c
hann	fpken
sé	svg3en
þar	aa
manninum	nkeþg
fremri	lkenvm
og	c
noti	svg3en
vel	aa
tækifærin	nhfog
sér	fpkeþ
til	ae
bjargar	nvee
að	aþ
eðlislægri	lveþsf
tilvísun	nveþ
.	.

klukkan	nveng
tvö	ta
um	ao
daginn	nkeog
var	sfg3eþ
lokið	sþghen
við	ao
að	cn
draga	sng
síðasta	lheove
bjóðið	nheog
og	c
mátti	sfg3eþ
ekki	aa
tæpara	aam
standa	sng
því	fpheþ
þá	aa
herti	sfg3eþ
mjög	aa
veðrið	nheog
og	c
var	sfg3eþ
að	cn
skella	sng
á	aa
með	aþ
byl	nkeþ
.	.

þrátt	aa
fyrir	ao
að	c
dregið	sþghen
var	sfg3eþ
móti	aþ
straumi	nkeþ
og	c
vaxandi	lheþof
veðri	nheþ
var	sfg3eþ
aflinn	nkeng
dágóður	lkensf
,	,
um	aa
500	ta
af	aþ
þorski	nkeþ
og	c
löngu	nveþ
og	c
talsvert	lhensf
af	aþ
ýsu	nveþ
.	.

en	c
ýsan	nveng
var	sfg3eþ
þá	aa
yfirleitt	aa
ekki	aa
talin	sþgven
með	aa
.	.

nú	aa
var	sfg3eþ
farið	sþghen
að	cn
keyra	sng
í	ao
átt	nveo
til	ae
lands	nhee
með	ao
vind	nkeo
á	ao
stjórnborðskinnung	nkeo
og	c
skilaði	sfg3eþ
vel	aa
áfram	aa
.	.

báturinn	nkeng
var	sfg3eþ
hæfilega	aa
þungaður	lkensf
og	c
bæði	c
hann	fpken
og	c
vélin	nveng
í	aþ
góðu	lheþsf
standi	nheþ
-	-
tvöföld	lvensf
Danvél	nven-s
sérlega	aa
kraftmikil	lvensf
og	c
örugg	lvensf
.	.

siglingatæki	nhfn
voru	sfg3fþ
ekki	aa
margbrotin	lhfnsf
á	aþ
þessum	fakeþ
tíma	nkeþ
.	.

kompásinn	nkeng
alltaf	aa
sígildur	lkensf
,	,
vegmælir	nken
(	(
logg	nhen
)	)
var	sfg3eþ
ekki	aa
mikið	aa
notað	sþghen
í	ao
styttri	lkfovm
róðra	nkfo
,	,
klukkan	nveng
var	sfg3eþ
yfirleitt	aa
látin	sþgven
nægja	sng
.	.

einnig	aa
var	sfg3eþ
handlóð	nhen
til	ae
dýptarmælinga	nvfe
.	.

sjó	nkeo
og	c
vind	nkeo
var	sfg3eþ
alltaf	aa
að	cn
þyngja	sng
og	c
kominn	sþgken
svartabylur	nken
.	.

engin	foven
landsýn	nven
var	sfg3eþ
frá	aþ
því	fpheþ
að	c
við	fp1fn
lögðum	sfg1fþ
af	aþ
stað	nkeþ
.	.

þegar	c
keyrt	sþghen
hafði	sfg3eþ
verið	ssg
á	ao
annan	lkeosf
tíma	nkeo
var	sfg3eþ
eins	aa
og	c
tjald	nhen
væri	svg3eþ
dregið	sþghen
frá	aþ
sortanum	nkeþg
og	c
myndaðist	sfm3eþ
mjó	lvensf
geil	nven
og	c
þar	aa
í	aa
gegn	aa
sá	sfg1eþ
ég	fp1en
upp	aa
í	ao
Smáeyjar	nvfo-s
.	.

þetta	fahen
var	sfg3eþ
snöggt	lhensf
eins	aa
og	c
hendi	nveþ
væri	svg3eþ
veifað	sþghen
,	,
en	c
þó	aa
nóg	lhensf
til	ae
þess	fphee
að	cn
sjá	sng
að	c
stefnan	nveng
var	sfg3eþ
rétt	lvensf
.	.

strax	aa
á	aa
eftir	aa
herti	sfg3eþ
veðrið	nheog
og	c
var	sfg3eþ
komið	sþghen
hreint	lhensf
ofviðri	nhen
og	c
bylurinn	nkeng
svo	aa
svartur	lkensf
að	c
ekki	aa
sást	sfm3eþ
út	aa
fyrir	ao
borðstokkinn	nkeog
.	.

til	ae
að	cn
geta	sng
haldið	ssg
kompásstefnunni	nveþg
varð	sfg1eþ
ég	fp1en
að	cn
loka	sng
öllum	fokfþ
stýrishúsgluggum	nkfþ
en	c
opna	sng
stjórnborðshurðina	nveog
því	fpheþ
að	c
annars	aa
hefði	svg3eþ
mér	fp1eþ
ekki	aa
tekist	ssm
að	cn
sjá	sng
neitt	foheo
fram	aa
fyrir	aa
vegna	ae
sjávarroks	nhee
og	c
fannkomu	nvee
.	.

eftir	ao
um	ao
það	faheo
bil	nheo
tvo	tfkfo
og	c
hálfan	lkeosf
tíma	nkeo
frá	aþ
því	fpheþ
lagt	sþghen
var	sfg3eþ
af	aþ
stað	nkeþ
heimleiðis	aa
fann	sfg1eþ
ég	fp1en
á	aþ
sjólaginu	nheþg
að	c
við	fp1fn
vorum	sfg1fþ
að	cn
nálgast	snm
land	nheo
.	.

eftir	aþ
því	faheþ
sem	ct
austar	aam
dró	sfg3eþ
fóru	sfg3fþ
Eyjarnar	nvfngs
að	cn
draga	sng
úr	aþ
öldunni	nveþg
.	.

nú	aa
var	sfg3eþ
slegið	sþghen
á	ao
stopp	nheo
og	c
hásetarnir	nkfng
þrír	tfkfn
kallaðir	sþgkfn
upp	aa
úr	aþ
lúkarnum	nkeþg
en	c
þar	aa
höfðu	sfg3fþ
þeir	fpkfn
verið	ssg
á	aþ
heimastíminu	nheþg
,	,
en	c
vélarmaðurinn	nkeng
að	aþ
sjálfsögðu	lheþsf
í	aþ
vélarhúsi	nheþ
.	.

tveir	tfkfn
hásetanna	nkfeg
komu	sfg3fþ
sér	fpkfþ
fyrir	aa
fram	aa
undir	aþ
stafni	nkeþ
en	c
sá	faken
þriðji	lkenvf
aftur	aa
undir	aþ
stýrishúsi	nheþ
til	ae
að	cn
geta	sng
kallað	ssg
til	ae
mín	fp1ee
skilaboð	nhfo
frá	aþ
varðmönnunum	nkfþg
fram	aa
á	aa
.	.

síðan	aa
var	sfg3eþ
haldið	sþghen
áfram	aa
þó	aa
ekki	aa
á	aþ
fullri	lveþsf
ferð	nveþ
.	.

ekkert	fohen
hafði	sfg3eþ
dregið	ssg
úr	aþ
veðrinu	nheþg
og	c
bylurinn	nkeng
aldrei	aa
svartari	lkenvm
og	c
sá	sfg1eþ
ég	fp1en
mér	fp1eþ
ekki	aa
fært	lhensf
að	cn
hafa	sng
gluggana	nkfog
opna	lkfosf
.	.

um	ao
það	faheo
bil	nheo
tuttugu	tfvfþ
mínútum	nvfþ
eftir	ao
að	c
farið	sþghen
var	sfg3eþ
að	cn
keyra	sng
aftur	aa
fannst	sfm3eþ
mér	fp1eþ
ég	fp1en
sjá	sng
bregða	sng
fyrir	aa
út	aa
um	ao
stýrishúsgöngin	nhfog
á	aþ
stjórn	nveþ
meiri	lveþvm
dekkju	nveþ
í	aþ
sortanum	nkeþg
,	,
en	c
eins	aa
og	c
áður	aa
er	sfg3en
sagt	sþghen
var	sfg3eþ
sú	faven
hurð	nven
opin	lvensf
.	.

ég	fp1en
sló	sfg1eþ
nú	aa
af	aa
alveg	aa
á	ao
stopp	nheo
og	c
spyr	sfg1en
stafnvaktina	nveog
hvort	c
hún	fpven
hafi	svg3en
orðið	ssg
nokkurs	fohee
vör	lvensf
.	.

ekkert	foheo
hafði	sfg3eþ
hún	fpven
séð	ssg
.	.

nú	aa
opnaði	sfg1eþ
ég	fp1en
gluggana	nkfog
og	c
byrjaði	sfg1eþ
að	cn
snúa	sng
hægt	aa
í	ao
stjórn	nveo
.	.

þegar	c
á	ao
sex	tfhfo
strik	nhfo
var	sfg3eþ
snúið	sþghen
sáum	sfg1fþ
við	fp1fn
allir	fokfn
samtímis	aa
sker	nheo
fram	aa
undan	aa
og	c
svo	aa
nærri	aa
var	sfg3eþ
það	fphen
að	c
fiskhakinn	nkeng
hefði	svg3eþ
náð	ssg
til	ae
þess	fphee
.	.

ég	fp1en
var	sfg1eþ
fljótur	lkensf
að	cn
taka	sng
afturábak	aa
frá	aþ
skerinu	nheþg
.	.

hér	aa
gat	sfg3eþ
verið	ssg
um	ao
tvö	tfhfo
sker	nhfo
að	cn
ræða	sng
,	,
þar	aa
sem	c
ég	fp1en
vissi	sfg1eþ
að	c
við	fp1fn
mundum	svg1fþ
vera	sng
vestan	aa
við	ao
Smáeyjar	nvfo-s
.	.

það	fphen
gat	sfg3eþ
verið	ssg
Nafarinn	nkengs
vestan	ae
Grasleysu	nvee-s
og	c
það	fphen
gat	sfg3eþ
verið	ssg
sker	nhen
norður	aa
af	aþ
Jötni	nkeþ-s
,	,
sem	ct
er	sfg3en
miklu	lheþsf
stærra	lhenvm
en	c
hitt	fahen
og	c
meira	aam
upp	aa
úr	aa
.	.

það	fphen
var	sfg3eþ
farið	sþghen
að	cn
bregða	sng
birtu	nveþ
og	c
þó	aa
að	c
við	fp1fn
værum	svg1fþ
fast	aa
upp	aa
við	ao
Smáeyjar	nvfo-s
glórði	sfg3eþ
ekki	aa
í	ao
þær	fpvfo
.	.

hann	fpken
var	sfg3eþ
hins	fakee
vegar	nkee
mjög	aa
ósáttur	lkensf
við	ao
það	fpheo
hvernig	aa
Markús	nken-s
stóð	sfg3eþ
að	aþ
uppsögninni	nveþg
og	c
rakti	sfg3eþ
úr	aþ
mér	fp1eþ
garnirnar	nvfog
um	ao
aðdragandann	nkeog
.	.

við	fp1fn
áttum	sfg1fþ
sérlega	aa
ánægjulegt	lheosf
tveggja	tfkfe
tíma	nkfe
spjall	nheo
og	c
ég	fp1en
sagði	sfg1eþ
honum	fpkeþ
að	c
það	fphen
hvarflaði	sfg3eþ
ekki	aa
að	aþ
mér	fp1eþ
að	cn
fara	sng
út	aa
með	aþ
einhverjum	fokeþ
hvelli	nkeþ
.	.

ég	fp1en
vildi	sfg1eþ
senda	sng
frá	aþ
mér	fp1eþ
yfirlýsingu	nveo
en	c
að	aþ
öðru	foheþ
leyti	nheþ
ekki	aa
ræða	sng
málið	nheog
.	.

ég	fp1en
var	sfg1eþ
búinn	lkensf
að	cn
semja	sng
drög	nhfo
að	aþ
yfirlýsingu	nveþ
og	c
í	aþ
sameiningu	nveþ
og	c
í	aþ
samráði	nheþ
við	ao
Styrmi	nkeo-s
Gunnarsson	nkeo-s
varð	sfg3eþ
niðurstaðan	nveng
þessi	faven
:	:

«	«
á	aþ
þessum	fahfþ
tímamótum	nhfþ
lít	sfg1en
ég	fp1en
hiklaust	aa
með	aþ
stolti	nheþ
yfir	ao
farinn	lkeosf
veg	nkeo
og	c
gleðst	sfm1en
yfir	aþ
því	faheþ
trausti	nheþ
sem	ct
fréttastofa	nven
Sjónvarpsins	nheegs
nýtur	sfg3en
,	,
þrátt	aa
fyrir	ao
að	c
stundum	aa
hafi	svg3en
gefið	ssg
á	ao
bátinn	nkeog
eins	aa
og	c
gengur	sfg3en
.	.

ég	fp1en
óska	sfg1en
stofnuninni	nveþg
alls	fohee
góðs	lheesf
eins	aa
og	c
ég	fp1en
hef	sfg1en
gert	ssg
í	aþ
öllum	fohfþ
mínum	fehfþ
störfum	nhfþ
sem	c
fréttastjóri	nken
.	.

ég	fp1en
hefði	svg1eþ
kosið	ssg
að	c
starfslok	nhfn
mín	fehfn
hefðu	svg3fþ
orðið	ssg
með	aþ
öðrum	fokeþ
hætti	nkeþ
en	c
nú	aa
er	sfg3en
bara	aa
að	cn
snúa	sng
sér	fpkeþ
af	aþ
krafti	nkeþ
að	aþ
nýjum	lhfþsf
verkefnum	nhfþ
.	.
»	»

þegar	c
klukkan	nveng
var	sfg3eþ
að	cn
nálgast	snm
sjö	ta
hringdi	sfg1eþ
ég	fp1en
þetta	faheo
í	ao
alla	fokfo
fjölmiðlana	nkfog
og	c
olli	sfg1eþ
starfsbræðrum	nkfþ
mínum	fekfþ
þar	aa
að	aþ
sjálfsögðu	lheþsf
vonbrigðum	nhfþ
með	aþ
því	fpheþ
að	cn
vilja	sng
ekki	aa
segja	sng
meira	lheovm
.	.

allir	fokfn
höfðu	sfg3fþ
sjálfsagt	aa
búist	ssm
við	aþ
því	fpheþ
að	c
ég	fp1en
myndi	svg1eþ
reka	sng
upp	aa
ramakvein	nheo
og	c
hrópa	sng
óréttlæti	nhen
,	,
óréttlæti	nhen
og	c
berjast	snm
fyrir	aþ
æru	nveþ
minni	feveþ
.	.

en	c
sannleikurinn	nkeng
var	sfg3eþ
sá	faken
að	c
eftir	aþ
því	faheþ
sem	c
á	ao
daginn	nkeog
leið	sfg3eþ
létti	sfg3eþ
mér	fp1eþ
stöðugt	aa
og	c
fannst	sfm3eþ
eins	aa
og	c
fargi	nheþ
væri	svg3eþ
af	aþ
mér	fp1eþ
létt	sþghen
.	.

ég	fp1en
var	sfg1eþ
loksins	aa
laus	lkensf
úr	aþ
prísundinni	nveþg
.	.

nafni	nken
minn	feken
Gunnlaugsson	nken-s
kom	sfg3eþ
í	ao
heimsókn	nveo
og	c
sat	sfg3eþ
drjúga	lveosf
stund	nveo
og	c
sagði	sfg3eþ
að	c
nú	aa
skyldi	svg1eþ
ég	fp1en
bara	aa
skrifa	sng
bók	nveo
.	.

því	aa
ekki	aa
?	?

um	ao
kvöldið	nheog
safnaði	sfg1eþ
ég	fp1en
síðan	aa
saman	aa
skjölum	nhfþ
og	c
bjó	sfg1eþ
mig	fp1eo
undir	ao
fundinn	nkeog
með	aþ
BHM-mönnum	nkfþ-s
.	.

og	c
það	fpheo
verð	sfg1en
ég	fp1en
að	cn
segja	sng
að	c
ég	fp1en
varð	sfg1eþ
hissa	lkenof
þegar	c
Birgir	nken-s
Björn	nken-s
og	c
tveir	tfkfn
lögfræðingar	nkfn
BHM	nhee-s
sögðu	sfg3fþ
mér	fp1eþ
að	c
ég	fp1en
hefði	svg1eþ
engan	fokeo
rétt	nkeo
.	.

útvarpsstjóri	nken
hefði	svg3eþ
hreinlega	aa
getað	ssg
sagt	ssg
mér	fp1eþ
upp	aa
störfum	nhfþ
þótt	c
aldrei	aa
hefði	svg3eþ
gengið	ssg
hnífurinn	nkeng
á	aa
milli	ae
okkar	fp1fe
.	.

svona	aa
hefðu	svg3fþ
hlutirnir	nkfng
verið	ssg
frá	aþ
1974	ta
er	c
ríkið	nheng
tók	sfg3eþ
upp	aa
nýja	lkfosf
ráðningasamninga	nkfo
.	.

þannig	aa
var	sfg3eþ
starfsöryggi	nhen
mitt	fehen
og	c
auðvitað	aa
allra	fokfe
annarra	fokfe
starfsmanna	nkfe
fréttastofunnar	nveeg
-	-
ekkert	fohen
.	.

ég	fp1en
þakkaði	sfg1eþ
pent	aa
fyrir	ao
mig	fp1eo
og	c
fór	sfg1eþ
heim	aa
.	.

þar	aa
beið	sfg3eþ
konan	nveng
mín	feven
eftir	aþ
mér	fp1eþ
og	c
var	sfg3eþ
búin	lvensf
að	cn
blanda	sng
mér	fp1eþ
léttan	lkeosf
viskísjúss	nkeo
og	c
við	fp1fn
settumst	sfm1fþ
niður	aa
og	c
skáluðum	sfg1fþ
.	.

eftir	ao
nokkur	fohfo
símtöl	nhfo
til	ae
náinna	lkfesf
vina	nkfe
og	c
ættingja	nkfe
,	,
sem	ct
auðvitað	aa
höfðu	sfg3fþ
miklar	lvfosf
áhyggjur	nvfo
af	aþ
andlegri	lveþsf
velferð	nveþ
minni	feveþ
,	,
fórum	sfg1fþ
við	fp1fn
að	cn
sofa	sng
og	c
í	ao
fyrsta	lheove
sinn	nheo
í	ao
marga	lkfosf
mánuði	nkfo
svaf	sfg1eþ
ég	fp1en
áhyggjulaus	lkensf
í	aþ
einum	tfkeþ
dúr	nkeþ
til	aa
klukkan	nveng
átta	ta
morguninn	nkeog
eftir	aa
.	.

þegar	c
ég	fp1en
vaknaði	sfg1eþ
var	sfg1eþ
gamli	lkenvf
streituverkurinn	nkeng
algjörlega	aa
horfinn	sþgken
og	c
ég	fp1en
sagði	sfg1eþ
við	ao
konu	nveo
mína	feveo
:	:

«	«
til	ae
hamingju	nvee
með	ao
fyrsta	lkeove
daginn	nkeog
í	aþ
fréttastofufríi	nheþ
.	.
»	»

hún	fpven
hló	sfg3eþ
við	aa
og	c
kyssti	sfg3eþ
mig	fp1eo
á	ao
kinnina	nveog
en	c
sagði	sfg3eþ
um	ao
leið	nveo
:	:

«	«
ég	fp1en
segi	sfg1en
nú	aa
samt	aa
.	.

helvítið	nheng
hann	fpken
Markús	nken-s
!	!
»	»

ég	fp1en
fór	sfg1eþ
þá	aa
að	cn
hugsa	sng
til	ae
þessa	fakee
gamla	lkeevf
bekkjarbróður	nkee
míns	fekee
og	c
fann	sfg1eþ
að	c
ég	fp1en
bar	sfg1eþ
engan	fokeo
kala	nkeo
til	ae
hans	fpkee
.	.

mér	fp1eþ
fannst	sfm3eþ
ég	fp1en
vera	sng
eins	aa
og	c
endurborinn	lkensf
og	c
líklega	aa
ætti	svg1eþ
ég	fp1en
fremur	aam
að	cn
þakka	sng
honum	fpkeþ
en	c
áfellast	snm
hann	fpkeo
.	.

ég	fp1en
vissi	sfg1eþ
að	c
Markúsi	nkeþ-s
leið	sfg3eþ
illa	aa
.	.

líklega	aa
miklu	lheþsf
verr	aam
en	c
mér	fp1eþ
.	.

hann	fpken
fyrirhugaði	sfg3eþ
fund	nkeo
með	aþ
starfsmönnum	nkfþ
fréttastofunnar	nveeg
.	.

ég	fp1en
vissi	sfg1eþ
að	c
þar	aa
var	sfg3eþ
allt	fohen
í	aþ
uppnámi	nheþ
en	c
ég	fp1en
hafði	sfg1eþ
daginn	nkeog
áður	aa
látið	ssg
þau	fahfo
boð	nhfo
berast	sfm3fn
þangað	aa
að	c
ég	fp1en
vildi	svg1eþ
að	c
nú	aa
þjöppuðu	svg3fþ
menn	nkfn
sér	fpkfþ
saman	aa
og	c
héldu	svg3fþ
uppi	aa
merki	nheþ
fréttastofunnar	nveeg
.	.

þá	aa
hafa	sfg3fn
komið	ssg
fram	aa
listrænir	lkfnsf
hæfileikar	nkfn
hjá	aþ
afkomendum	nkfþ
fleiri	lhfevm
systkina	nhfe
Jóns	nkee-s
.	.

Jóhannes	nken-s
Geir	nken-s
var	sfg3eþ
ekki	aa
einn	lkensf
systkina	nhfe
sinna	fehfe
um	ao
að	cn
