önnur	foven
ég	fp1en
væri	svg1eþ
að	cn
dingla	sng
með	aþ
þeim	fpkfþ
.	.

pabbi	nken
sér	sfg3en
strax	aa
að	c
ég	fp1en
er	sfg1en
að	cn
segja	sng
satt	lheosf
og	c
segir	sfg3en
mér	fp1eþ
að	c
Jón	nken-s
frændi	nken
hafi	svg3en
komið	ssg
upp	aa
á	ao
Akranes	nheo-s
og	c
sagt	ssg
að	c
ég	fp1en
hlyti	svg1eþ
að	cn
vera	sng
orðin	sþgven
ófrísk	lvensf
,	,
því	fpheþ
ég	fp1en
væri	svg1eþ
alltaf	aa
með	aþ
einhverjum	fokfþ
strákum	nkfþ
.	.

það	fphen
var	sfg3eþ
í	aþ
byrjun	nveþ
september	nkee
árið	nheog
1939	ta
að	c
hann	fpken
kom	sfg3eþ
í	ao
kaffi	nheo
yfir	ao
götuna	nveog
til	ae
mömmu	nvee
og	c
hafði	sfg3eþ
verið	ssg
að	cn
hlusta	sng
á	ao
útvarp	nheo
.	.

nú	aa
held	sfg1en
ég	fp1en
Hitler	nken-s
sé	svg3en
orðinn	sþgken
snarvitlaus	lkensf
,	,
sagði	sfg3eþ
hann	fpken
.	.

þennan	fakeo
morgun	nkeo
hafði	sfg3eþ
þýski	lkenvf
herinn	nkeng
ráðist	ssm
inn	aa
í	ao
Pólland	nheo-s
.	.

það	fphen
var	sfg3eþ
líka	aa
hægt	lhensf
að	cn
kanna	sng
bátana	nkfog
,	,
sem	ct
biðu	sfg3fþ
á	aþ
blettinum	nkeþg
eftir	aþ
því	fpheþ
að	c
afi	nken
breytti	svg3eþ
þeim	fpkfþ
í	ao
betri	lhfovm
skip	nhfo
.	.

bátabletturinn	nkeng
var	sfg3eþ
merkilegt	lhensf
konungsríki	nhen
sem	ct
við	fp1fn
bræðurnir	nkfng
þóttumst	sfm1fþ
eiga	sng
nokkurn	fokeo
rétt	nkeo
yfir	aþ
.	.

afi	nken
viðurkenndi	sfg3eþ
það	fpheo
fyrir	ao
sitt	feheo
leyti	nheo
-	-
allt	fohen
þar	aa
til	aa
við	fp1fn
höfðum	sfg1fþ
smalað	ssg
miklu	lheþsf
krakkastóði	nheþ
í	aþ
sjóorustu	nveþ
milli	ae
báta	nkfe
með	aþ
grjóthríð	nveþ
og	c
djöfulgangi	nkeþ
.	.

þá	aa
var	sfg3eþ
hann	fpken
reiður	lkensf
í	ao
nokkrar	fovfo
mínútur	nvfo
og	c
rak	sfg3eþ
alla	fokfo
út	aa
fyrir	ao
girðingu	nveo
.	.

mig	fp1eo
líka	aa
og	c
það	fphen
þótti	sfg3eþ
mér	fp1eþ
ekki	aa
sanngjarnt	lhensf
.	.

það	fphen
var	sfg3eþ
líka	aa
hægt	lhensf
að	cn
hressa	sng
upp	aa
á	ao
sálartetrið	nheog
með	aþ
því	fpheþ
að	cn
skreppa	sng
inn	aa
til	ae
ömmu	nvee
Böggu	nvee-s
,	,
sem	ct
var	sfg3eþ
lítil	lvensf
kona	nven
og	c
þybbin	lvensf
og	c
gekk	sfg3eþ
oft	aa
í	aþ
peysufötum	nhfþ
.	.

hún	fpven
var	sfg3eþ
vís	lvensf
til	ae
að	cn
eiga	sng
kandís	nkeo
eða	c
kex	nheo
,	,
bleytt	lhensf
í	aþ
sætu	lheþsf
kaffi	nheþ
og	c
þótti	sfg3eþ
mikið	lhensf
hnossgæti	nhen
.	.

hún	fpven
spurði	sfg3eþ
mig	fp1eo
frétta	nvfe
af	aþ
sjálfum	fbkeþ
mér	fp1eþ
og	c
öðrum	fokfþ
krökkum	nkfþ
.	.

stundum	aa
mátti	sfg1eþ
ég	fp1en
rulla	sng
með	aþ
henni	fpveþ
þvott	nkeo
úti	aa
í	aþ
hjalli	nkeþ
.	.

hún	fpven
hét	sfg3eþ
Bjarnhildur	nven-s
Helga	nven-s
Halldórsdóttir	nven-s
og	c
var	sfg3eþ
frá	aþ
Merkinesi	nheþ-s
í	aþ
Höfnum	nvfþ-s
.	.

þegar	c
þau	fphfn
afi	nken
voru	sfg3fþ
að	cn
draga	sng
sig	fphfo
saman	aa
varð	sfg3eþ
hann	fpken
eitt	foheo
sinn	nheo
samferða	lkenof
Símoni	nkeþ-s
Dalaskáldi	nheþ-s
yfir	ao
heiðina	nveog
til	ae
Keflavíkur	nvee-s
og	c
Símon	nken-s
þakkaði	sfg3eþ
fyrir	ao
sig	fpkeo
með	aþ
elskulegum	lkeþsf
leirburði	nkeþ
:	:

víst	aa
mér	fp1eþ
fylgdi	sfg3eþ
veldjarfur	lkensf
Vigfús	nken-s
snilldum	nvfþ
gæddur	lkensf
örvagildur	lkensf
abaldur	nken
er	sfg3en
Bjarnhildi	nveþ-s
lofaður	lkensf
.	.

þau	fphfn
amma	nven
og	c
afi	nken
fóru	sfg3fþ
í	ao
kvöldgöngur	nvfo
og	c
komu	sfg3fþ
við	aa
hjá	aþ
flestum	lhfþse
eða	c
öllum	fohfþ
börnum	nhfþ
sínum	fehfþ
:	:
sex	tfhfn
þeirra	fphfe
bjuggu	sfg3fþ
í	aþ
Keflavík	nveþ-s
,	,
ein	foven
dóttirin	nveng
ólst	sfm3eþ
upp	aa
í	aþ
Hafnarfirði	nkeþ-s
og	c
giftist	sfm3eþ
þar	aa
.	.

systkini	nhfn
föður	nkee
míns	fekee
fimm	tfhfn
áttu	sfg3fþ
sér	fphfþ
líka	aa
börn	nhfo
og	c
buru	nkfo
í	aþ
Keflavík	nveþ-s
.	.

enginn	foken
fór	sfg3eþ
neitt	foheo
þótt	c
hundgá	nven
og	c
hanagal	nhen
heyrðist	svm3eþ
í	aþ
öðrum	fovfþ
sóknum	nvfþ
,	,
kannski	aa
var	sfg3eþ
það	fphen
nánast	aae
skammaryrði	nhen
að	cn
heita	sng
aðfluttur	lkensf
.	.

allir	fokfn
vissu	sfg3fþ
vel	aa
hver	foken
af	aþ
öðrum	fokeþ
í	aþ
þessum	favfþ
stórfjölskyldum	nvfþ
.	.

það	fphen
gat	sfg3eþ
verið	ssg
góður	lkensf
styrkur	nken
að	aþ
þessu	faheþ
nábýli	nheþ
,	,
ekki	aa
síst	aae
þegar	c
liði	nheþ
var	sfg3eþ
smalað	sþghen
til	ae
að	cn
hræra	sng
steypu	nveo
eða	c
negla	sng
á	aa
þak	nheo
fyrir	ao
ung	lhfosf
hjón	nhfo
.	.

en	c
stórfjölskyldan	nveng
gat	sfg3eþ
líka	aa
orðið	ssg
eins	aa
og	c
lokaður	lkensf
hringur	nken
,	,
sem	ct
smám	aa
saman	aa
þokaði	sfg3eþ
til	ae
hliðar	nvee
óskyldum	lkfþsf
vinum	nkfþ
og	c
kunningjum	nkfþ
.	.

við	fp1fn
börnin	nhfng
áttum	sfg1fþ
því	aa
í	ao
mörg	lhfosf
hús	nhfo
að	cn
venda	sng
.	.

eins	aa
víst	lhensf
ég	fp1en
færi	svg1eþ
seinnipart	nkeo
dags	nkee
með	aþ
jafnöldru	nveþ
minni	feveþ
og	c
frænku	nveþ
,	,
Löllu	nveþ-s
úr	aþ
Dalnum	nkeþgs
,	,
niður	aa
á	ao
Hafnargötu	nveo-s
.	.

þar	aa
var	sfg3eþ
amma	nven
Guðlaug	nven-s
,	,
sem	ct
kannski	aa
þurfti	sfg3eþ
á	aþ
sendli	nkeþ
að	cn
halda	sng
,	,
þar	aa
var	sfg3eþ
líka	aa
eldhús	nhen
og	c
kaffi	nhen
og	c
kex	nhen
.	.

þar	aa
var	sfg3eþ
líka	aa
Siggi	nken-s
bróðir	nken
,	,
sem	ct
var	sfg3eþ
búinn	lkensf
að	cn
koma	sng
sér	fpkeþ
upp	aa
verkstæði	nheþ
á	aþ
gömlum	lkeþsf
kamri	nkeþ
sem	ct
hann	fpken
hafði	sfg3eþ
stækkað	ssg
,	,
og	c
hann	fpken
gat	sfg3eþ
smíðað	ssg
fyrir	ao
okkur	fp1fo
stóra	lkfosf
bíla	nkfo
og	c
hvað	foheo
sem	ct
var	sfg3eþ
.	.

hann	fpken
veiktist	sfm3eþ
af	aþ
ókennilegum	lkeþsf
sjúkdómi	nkeþ
og	c
dó	sfg3eþ
aðeins	aa
fjórtán	tfhfe
ára	nhfe
gamall	lkensf
.	.

ég	fp1en
var	sfg1eþ
þá	aa
átta	tfhfe
ára	nhfe
og	c
þetta	fahen
var	sfg3eþ
eina	lvenvf
stóra	lvenvf
sorgin	nveng
sem	ct
skyggði	sfg3eþ
á	aa
þessi	fahfo
stríðsár	nhfo
bernsku	nvee
minnar	fevee
,	,
þegar	c
bátar	nkfn
komu	sfg3fþ
ekki	aa
fram	aa
,	,
skip	nhfn
voru	sfg3fþ
skotin	sþghfn
í	ao
kaf	nheo
og	c
borgir	nvfn
stóðu	sfg3fþ
í	aþ
björtu	lheþsf
báli	nheþ
.	.

Guðlaug	nven-s
og	c
Stefán	nken-s
Bergmann	nken-s
bjuggu	sfg3fþ
í	aþ
tvílyftu	lheþsf
húsi	nheþ
sem	ct
var	sfg3eþ
ríkmannlegra	lhenvm
en	c
önnur	fohfn
sem	ct
ég	fp1en
þekkti	sfg1eþ
og	c
það	fphen
var	sfg3eþ
spennandi	lhenof
að	cn
fara	sng
um	ao
það	fpheo
í	ao
kynnisferðir	nvfo
.	.

inni	aa
í	aþ
stofu	nveþ
stóð	sfg3eþ
merkilegt	lhensf
taflborð	nhen
og	c
skútulíkan	nhen
hékk	sfg3eþ
uppi	aa
á	aþ
vegg	nkeþ
.	.

uppi	aa
á	aþ
hanabjálkalofti	nheþ
fundum	sfg1fþ
við	fp1fn
Lalla	nven-s
mikinn	lkeosf
fjársjóð	nkeo
í	aþ
gömlum	lhfþsf
vikublöðum	nhfþ
:	:
einræðisherrar	nkfn
kreppuáranna	nhfeg
og	c
þeirra	fpkfe
lið	nhen
marséraði	sfg3eþ
í	aþ
skrautlegum	lkfþsf
einkennisbúningum	nkfþ
á	aþ
myndaopnum	nvfþ
Fálkans	nkeegs
,	,
loftskip	nhfn
og	c
risastór	lhfnsf
farþegaskip	nhfn
settu	sfg3fþ
hraðamet	nhfo
yfir	ao
Atlantshaf	nheo-s
og	c
prinsar	nkfn
álfunnar	nveeg
léku	sfg3fþ
sér	fpkfþ
í	aþ
sérsmíðuðum	lkfþsf
alvörubílum	nkfþ
.	.

ég	fp1en
öfundaði	sfg1eþ
þá	fpkfo
samt	aa
ekki	aa
mjög	aa
mikið	aa
.	.

stundum	aa
sat	sfg1eþ
ég	fp1en
úti	aa
í	aþ
horni	nheþ
í	aþ
skrifstofunni	nveþg
hjá	aþ
afa	nkeþ
og	c
blaðaði	sfg1eþ
í	aþ
bók	nveþ
sem	ct
hann	fpken
átti	sfg3eþ
um	ao
mikilmenni	nhfo
heimsins	nkeeg
.	.

tólfti	lkenvf
ættliður	nken
frá	aþ
Ísleifi	nkeþ-s
biskupi	nkeþ
er	sfg3en
til	ae
dæmis	nhee
Margrét	nven-s
Vigfúsdóttir	nven-s
,	,
en	c
hún	fpven
var	sfg3eþ
gift	lvensf
Þorvarði	nkeþ-s
á	aþ
Möðruvöllum	nkfþ-s
Loftssyni	nkeþ-s
hins	gkee
ríka	lkeevf
Guttormssonar	nkee-s
.	.

Þorvarður	nken-s
var	sfg3eþ
elstur	lkense
barna	nhfe
Lofts	nkee-s
ríka	lkeevf
og	c
konu	nvee
hans	fpkee
Ingibjargar	nvee-s
Pálsdóttur	nvee-s
á	aþ
Eiðum	nvfþ-s
.	.

næstelst	lvense
var	sfg3eþ
sú	faven
fræga	lvenvf
kona	nven
Ólöf	nven-s
ríka	lvenvf
,	,
sem	ct
bjó	sfg3eþ
á	aþ
Skarði	nheþ-s
ásamt	aþ
manni	nkeþ
sínum	fekeþ
Birni	nkeþ-s
Þorleifssyni	nkeþ-s
hirðstjóra	nkeþ
,	,
sem	ct
veginn	sþgken
var	sfg3eþ
af	aþ
Englendingum	nkfþ-s
.	.

það	fphen
mun	sfg3en
hafa	sng
gerst	ssm
árið	nheog
1467	ta
,	,
að	c
enskir	lkfnsf
verslunarmenn	nkfn
réðust	sfm3fþ
að	aþ
honum	fpkeþ
og	c
sjö	tfkfþ
fylgdarmönnum	nkfþ
hans	fpkee
í	aþ
Rifi	nheþ-s
á	aþ
Snæfellsnesi	nheþ-s
,	,
þar	aa
sem	c
hann	fpken
var	sfg3eþ
að	cn
gegna	sng
embættisskyldu	nveþ
sinni	feveþ
.	.

þeir	fpkfn
misþyrmdu	sfg3fþ
líki	nheþ
hirðstjórans	nkeeg
og	c
sendu	sfg3fþ
það	fpheo
síðan	aa
til	ae
konu	nvee
hans	fpkee
,	,
Ólafar	nvee-s
ríku	lveevf
.	.

og	c
þá	aa
varð	sfg3eþ
henni	fpveþ
að	aþ
orði	nheþ
setningin	nveng
,	,
sem	ct
höfð	sþgven
hefur	sfg3en
verið	ssg
í	aþ
minnum	nhfþ
síðan	aa
og	c
flestir	lkfnse
Íslendingar	nkfn-s
kunna	sfg3fn
:	:

«	«
eigi	aa
skal	sfg3en
gráta	sng
Björn	nkeo-s
bónda	nkeo
,	,
heldur	c
safna	sng
liði	nheþ
og	c
hefna	sng
.	.
»	»

Loftur	nken-s
ríki	lkenvf
var	sfg3eþ
hirðstjóri	nken
norðan	aa
og	c
vestan	aa
,	,
stórauðugur	lkensf
valdsmaður	nken
og	c
mikils	lheesf
metinn	lkensf
;	;
mun	sfg3en
hafa	sng
verið	ssg
herraður	sþgken
og	c
hafði	sfg3eþ
höggorm	nkeo
í	aþ
skjaldarmerki	nheþ
sínu	feheþ
,	,
segir	sfg3en
Páll	nken-s
Eggert	nken-s
Ólason	nken-s
í	aþ
íslenskum	lvfþsf
æviskrám	nvfþ
.	.

lengst	aae
lifir	sfg3en
hann	fpken
þó	aa
fyrir	ao
skáldskap	nkeo
sinn	fekeo
,	,
en	c
hann	fpken
er	sfg3en
frægasta	lhenve
skáld	nhen
okkar	fp1fe
á	aþ
fimmtándu	lveþvf
öld	nveþ
.	.

eftir	ao
hann	fpkeo
er	sfg3en
kvæðið	nheng
Háttalykill	nken-s
,	,
sem	ct
ort	sþghen
er	sfg3en
til	ae
ástkonu	nvee
hans	fpkee
,	,
Kristínar	nvee-s
Oddsdóttur	nvee-s
.	.

hann	fpken
bjó	sfg3eþ
með	aþ
henni	fpveþ
um	ao
árabil	nheo
og	c
átti	sfg3eþ
með	aþ
henni	fpveþ
þrjá	tfkfo
sonu	nkfo
,	,
en	c
kvæntist	sfm3eþ
síðan	aa
annarri	foveþ
konu	nveþ
,	,
hvernig	aa
sem	c
á	aþ
því	fpheþ
hefur	sfg3en
staðið	ssg
.	.

hins	fakee
vegar	nkee
tregaði	sfg3eþ
hann	fpken
alla	foveo
ævi	nveo
Kristínu	nveo-s
og	c
orti	sfg3eþ
til	ae
hennar	fpvee
saknaðarljóð	nhfo
,	,
til	ae
dæmis	nhee
þessa	faveo
vísu	nveo
.	.

Katrín	nven-s
amma	nven
mín	feven
giftist	sfm3en
Ármanni	nkeþ-s
Jónssyni	nkeþ-s
,	,
sem	ct
fæddur	sþgken
var	sfg3eþ
að	aþ
Hólahólum	nkfþ-s
á	aþ
Snæfellsnesi	nheþ-s
15.	ta
júní	nkeo
1853	ta
.	.

faðir	nken
hans	fpkee
var	sfg3eþ
talinn	sþgken
Jón	nken-s
Hallsson	nken-s
bóndi	nken
þar	aa
,	,
en	c
mamma	nven
hélt	sfg3eþ
því	fpheþ
alltaf	aa
fram	aa
,	,
að	c
Ármann	nken-s
afi	nken
væri	svg3eþ
kominn	sþgken
af	aþ
séra	nkeþ
Jóni	nkeþ-s
skáldi	nheþ
á	aþ
Bægisá	nveþ-s
-	-
væri	svg3eþ
einn	tfken
af	aþ
hálfrefunum	nkfþg
hans	fpkee
,	,
en	c
hann	fpken
átti	sfg3eþ
eins	aa
og	c
kunnugt	lhensf
er	sfg3en
börn	nhfo
út	aa
um	ao
hvippinn	nkeog
og	c
hvappinn	nkeog
.	.

líklega	aa
hefur	sfg3en
mamma	nven
haft	ssg
þessa	faveo
vitneskju	nveo
frá	aþ
föðurömmu	nveþ
sinni	feveþ
,	,
Halldóru	nveþ-s
,	,
en	c
hún	fpven
var	sfg3eþ
með	aþ
afbrigðum	nhfþ
ættfróð	lvensf
og	c
margvís	lvensf
.	.

en	c
hvað	fshen
sem	c
því	fpheþ
líður	sfg3en
hefur	sfg3en
Jóni	nkeþ-s
bónda	nkeþ
Hallssyni	nkeþ-s
ekki	aa
verið	ssg
fisjað	sþghen
saman	aa
;	;
að	aþ
minnsta	lkeþve
kosti	nkeþ
lét	sfg3eþ
hann	fpken
ekki	aa
hindurvitni	nhfo
og	c
hégiljur	nvfo
aftra	sng
sér	fpkeþ
frá	aþ
að	cn
hefja	sng
búskap	nkeo
á	aþ
Hólahólum	nkfþ-s
undir	aþ
Jökli	nkeþ-s
.	.

fyrirrennari	nken
hans	fpkee
,	,
Elías	nken-s
Kjærnested	nken-s
,	,
hafði	sfg3eþ
slæma	lveosf
reynslu	nveo
af	aþ
þeirri	faveþ
jörð	nveþ
,	,
og	c
er	sfg3en
til	aa
frásögn	nven
um	ao
ófarir	nvfo
hans	fpkee
,	,
sem	ct
Þórbergur	nken-s
Þórðarson	nken-s
hefur	sfg3en
skráð	ssg
í	aþ
Gráskinnu	nveþ-s
hinni	gveþ
meiri	lveþvm
eftir	aþ
Kristjáni	nkeþ-s
N.	nkeþ-s
Péturssyni	nkeþ-s
.	.

bærinn	nkeng
Hólahólar	nkfn-s
stóð	sfg3eþ
vestan	aa
undir	aþ
samnefndum	lkfþsf
hólum	nkfþ
,	,
skammt	aa
frá	aþ
sjó	nkeþ
.	.

norðaustan	aa
í	ao
hólana	nkfog
gengur	sfg3en
Berudalur	nken-s
,	,
en	c
hægramegin	aa
við	ao
hliðið	nheog
inn	aa
í	ao
hann	fpkeo
eru	sfg3fn
fallegir	lkfnsf
klettar	nkfn
í	aþ
hlíðinni	nveþg
.	.

eitt	foheo
sinn	nheo
hyggst	sfm3en
Elías	nken-s
bóndi	nken
gera	sng
nátthaga	nkeo
í	aþ
dalnum	nkeþg
og	c
ákveður	sfg3en
að	cn
taka	sng
hleðsluefnið	nheog
úr	aþ
klettaborginni	nveþg
.	.

hann	fpken
hefst	sfm3en
þegar	aa
handa	nvfe
og	c
ryður	sfg3en
grjóti	nheþ
úr	aþ
klettahæðinni	nveþg
og	c
lætur	sfg3en
það	fpheo
velta	sng
ofan	ao
brekkuna	nveog
niður	aa
í	ao
dalbotninn	nkeog
.	.

nótt	nveo
eina	foveo
birtist	sfm3en
honum	fpkeþ
í	aþ
draumi	nkeþ
kona	nven
,	,
sem	ct
biður	sfg3en
hann	fpkeo
þess	fphee
lengstra	lhfese
orða	nhfe
að	cn
hætta	sng
að	cn
taka	sng
grjót	nheo
úr	aþ
klettaborginni	nveþg
.	.

en	c
það	fphen
hvarflar	sfg3en
ekki	aa
að	aþ
Elíasi	nkeþ-s
að	cn
taka	sng
mark	nheo
á	aþ
draumum	nkfþ
,	,
svo	aa
að	c
hann	fpken
heldur	sfg3en
verki	nheþ
sínu	feheþ
áfram	aa
ótrauður	lkensf
.	.

og	c
konan	nveng
heldur	sfg3en
áfram	aa
að	cn
birtast	snm
honum	fpkeþ
nótt	nveo
eftir	ao
nótt	nveo
og	c
grátbænir	sfg3en
hann	fpkeo
að	cn
láta	sng
af	aþ
skemmdarverkum	nhfþ
sínum	fehfþ
,	,
eins	aa
og	c
hún	fpven
kemst	sfm3en
að	aþ
orði	nheþ
.	.

þegar	c
ekkert	fohen
gagnar	sfg3en
tekur	sfg3en
hún	fpven
að	cn
birtast	snm
húsfreyjunni	nveþg
á	aþ
bænum	nkeþg
og	c
biður	sfg3en
hana	fpveo
að	cn
koma	sng
vitinu	nheþg
fyrir	ao
mann	nkeo
sinn	fekeo
.	.

en	c
bóndi	nken
er	sfg3en
sauðþrár	lkensf
og	c
situr	sfg3en
við	ao
sinn	fekeo
keip	nkeo
.	.

«	«
ég	fp1en
ansa	sfg1en
ekki	aa
þessu	faheþ
draumarugli	nheþ
,	,
»	»
segir	sfg3en
hann	fpken
.	.

bóndi	nken
þessi	faven
kom	sfg3eþ
nú	aa
þar	aa
að	aa
,	,
sem	c
Einar	nken-s
er	sfg3en
að	cn
skoða	sng
fleytuna	nveog
og	c
spyr	sfg3en
,	,
hvort	c
hann	fpken
vilji	svg3en
kaupa	sng
bátinn	nkeog
.	.

Einar	nken-s
segir	sfg3en
það	fpheo
vera	sng
,	,
en	c
það	fphen
sé	svg3en
nú	aa
lítið	lhensf
til	ae
að	cn
kaupa	sng
fyrir	aa
.	.

en	c
þar	aa
kom	sfg3eþ
máli	nheþ
þeirra	fpkfe
,	,
að	c
bóndi	nken
féllst	sfm3eþ
á	ao
að	cn
lána	sng
þeim	fpkfþ
bræðrum	nkfþ
bátinn	nkeog
til	ae
að	cn
róa	sng
næstu	lveove
vertíð	nveo
,	,
ef	c
þeir	fpkfn
kæmu	svg3fþ
honum	fpkeþ
í	ao
stand	nheo
.	.

þeim	fpkfþ
Einari	nkeþ-s
og	c
Þorgils	nkeþ-s
bróður	nkeþ
hans	fpkee
tókst	sfm3eþ
að	cn
gera	sng
bátinn	nkeog
sjófæran	lkeosf
og	c
munu	sfg3fn
hafa	sng
róið	ssg
honum	fpkeþ
frá	aþ
Hlíð	nveþ-s
veturinn	nkeog
1885	ta
.	.

ætli	svg3en
það	fphen
hafi	svg3en
ekki	aa
verið	ssg
þennan	fakeo
vetur	nkeo
að	c
séra	nken
Þórarinn	nken-s
Böðvarsson	nken-s
kom	sfg3eþ
einhverra	fohfe
erinda	nhfe
að	aþ
Setbergi	nheþ-s
.	.

ef	c
maður	nken
úr	aþ
einni	foveþ
veiðistöð	nveþ
kom	sfg3eþ
í	ao
aðra	fokfo
,	,
vildu	sfg3fþ
menn	nkfn
hafa	sng
spurnir	nvfo
af	aþ
aflabrögðum	nhfþ
og	c
sókn	nveþ
í	aþ
hans	fpkee
veiðistöð	nveþ
.	.

spurðu	sfg3fþ
Hafnfirðingar	nkfn-s
þeirrar	favee
spurningar	nvee
fyrstrar	lveese
,	,
hvort	c
þeir	fpkfn
væru	svg3fþ
að	cn
fiska	sng
í	aþ
Garðahverfi	nheþ-s
.	.

séra	nken
Þórarinn	nken-s
sagði	sfg3eþ
:	:

«	«
það	fphen
reru	sfg3fþ
engir	fokfn
í	aa
gær	aa
úr	aþ
Garðahverfi	nheþ-s
nema	c
þeir	fakfn
Hlíðarbræður	nkfn-s
og	c
fiskuðu	sfg3fþ
mikið	aa
.	.
»	»

Einar	nken-s
mun	sfg3en
fljótlega	aa
hafa	sng
farið	ssg
að	cn
leiða	sng
sóknina	nveog
í	aþ
Garðahverfi	nheþ-s
.	.

úthaldið	nheng
á	aþ
þessu	faheþ
fjögurra	tfkfe
manna	nkfe
fari	nheþ
hefur	sfg3en
gert	ssg
þeim	fpkfþ
bræðrum	nkfþ
kleift	lhensf
að	cn
kaupa	sng
gamlan	lkeosf
sexæring	nkeo
1886	ta
,	,
og	c
þar	aa
sem	c
það	fphen
eru	sfg3fn
fyrstu	lhfnve
bátakaup	nhfn
Einars	nkee-s
hefur	sfg3en
hann	fpken
viljað	ssg
telja	sng
það	faheo
upphaf	nheo
útgerðarferils	nkee
síns	fekee
.	.

þennan	fakeo
sexæring	nkeo
er	sfg3en
að	cn
finna	sng
í	aþ
tíundarskýrslu	nveþ
1887	ta
,	,
árið	nheog
eftir	ao
að	c
hann	fpken
er	sfg3en
keyptur	sþgken
.	.

Þorgils	nken-s
faðir	nken
þeirra	fpkfe
bræðra	nkfe
,	,
lést	sfm3eþ
um	ao
haustið	nheog
1886	ta
og	c
tóku	sfg3fþ
þeir	fakfn
bræður	nkfn
þá	aa
við	aþ
Hlíðarbúinu	nheþgs
með	aþ
móður	nveþ
sinni	feveþ
.	.

var	sfg3eþ
Þorgils	nken-s
skrifaður	sþgken
fyrir	aþ
búinu	nheþg
,	,
því	fpheþ
að	c
Einar	nken-s
hafði	sfg3eþ
ekki	aa
til	ae
þess	fphee
aldur	nkeo
,	,
en	c
hann	fpken
mun	sfg3en
hafa	sng
verið	ssg
fyrir	aþ
þeim	fpkfþ
bræðrum	nkfþ
í	aþ
allri	foveþ
ráðsmennsku	nveþ
og	c
þeirra	fpkfe
meiri	lkenvm
framkvæmdamaður	nken
.	.

þeim	fpkfþ
bræðrum	nkfþ
og	c
móður	nveþ
þeirra	fpkfe
búnaðist	sfm3eþ
svo	aa
í	aþ
Hlíð	nveþ-s
,	,
að	c
bústofninn	nkeng
þrefaldaðist	sfm3eþ
á	aþ
nokkrum	fohfþ
árum	nhfþ
.	.

þeir	fpkfn
keyptu	sfg3fþ
tveggja	tfkfe
manna	nkfe
far	nheo
til	ae
að	cn
eiga	sng
með	aþ
sexæringnum	nkeþg
,	,
og	c
síðan	aa
annan	fokeo
sexæring	nkeo
,	,
sem	ct
Þorgils	nken-s
varð	sfg3eþ
formaður	nken
á	aþ
.	.

árið	nheog
1895	ta
kvæntist	sfm3eþ
Einar	nken-s
heimasætunni	nveþg
í	aþ
Pálshúsum	nhfþ-s
,	,
býli	nheþ
skammt	aa
frá	aþ
Hlíð	nveþ-s
,	,
Geirlaugu	nveþ-s
Sigurðardóttur	nveþ-s
af	aþ
hafnfirskum	lvfþsf
ættum	nvfþ
;	;
ættfaðirinn	nkeng
Þorsteinn	nken-s
bóndi	nken
á	aþ
Hvaleyri	nveþ-s
(	(
1770	ta
)	)
.	.

sama	fbheo
ár	nheo
og	c
Einar	nken-s
kvæntist	sfm3eþ
stofnar	sfg3en
hann	fpken
pöntunarfélag	nheo
og	c
veitir	sfg3en
því	fpheþ
forstöðu	nveo
í	ao
tíu	tfhfo
ár	nhfo
.	.

árið	nheog
1897	ta
var	sfg3eþ
hann	fpken
skipaður	sþgken
hreppstjóri	nken
Garðahrepps	nkee-s
.	.

ári	nheþ
síðar	aam
hafði	sfg3eþ
hann	fpken
forgöngu	nveo
um	ao
stofnun	nveo
útgerðarfélags	nhee
til	ae
kútterakaupa	nhfe
og	c
var	sfg3eþ
þannig	aa
með	aþ
fyrstu	lkfþve
mönnum	nkfþ
til	ae
þeirra	fahfe
kaupa	nhfe
.	.

vorið	nheog
1900	ta
keypti	sfg3eþ
hann	fpken
Óseyri	nveo-s
í	aþ
Hafnarfirði	nkeþ-s
og	c
fluttist	sfm3eþ
þangað	aa
og	c
þar	aa
hóf	sfg3eþ
hann	fpken
verslun	nveo
,	,
fiskkaup	nhfo
og	c
útgerð	nveo
.	.

var	sfg3eþ
þá	aa
hafinn	sþgken
jarldómur	nken
hans	fpkee
í	aþ
Hafnarfirði	nkeþ-s
.	.

Einar	nken-s
stofnaði	sfg3eþ
Útgerðarfélagið	nheogs
við	ao
Hafnarfjörð	nkeo-s
á	aþ
árinu	nheþg
1901	ta
.	.

keypti	sfg3eþ
það	fahen
félag	nhen
kútterana	nkfog
Surprise	nxeo-s
og	c
Litlu-Rósu	nveo-s
og	c
leigði	sfg3eþ
aðra	fokfo
kúttera	nkfo
,	,
enda	c
hóf	sfg3eþ
Einar	nken-s
þá	aa
mikil	lhfosf
fiskkaup	nhfo
,	,
verkaði	sfg3eþ
og	c
keypti	sfg3eþ
fiskinn	nkeog
af	aþ
eigin	lhfþof
skipum	nhfþ
og	c
stofnaði	sfg3eþ
strax	aa
til	ae
mikilla	lhfesf
viðskipta	nhfe
við	ao
Strandamenn	nkfo-s
og	c
Suðurnesjamenn	nkfo-s
og	c
hélt	sfg3eþ
þeim	fahfþ
viðskiptum	nhfþ
alla	foveo
sína	feveo
tíð	nveo
.	.

að	aþ
nokkru	foheþ
